Original Name,Processed Name
Taurine   ,taurine
Citrulline Malate   ,citrulline malate
N-Acetyl L-Tyrosine   ,n-acetyl l-tyrosine
L-Arginine   ,l-arginine
Taurine   ,taurine
L-Arginine   ,l-arginine
Taurine   ,taurine
ALA  (Alpha-Lipoic Acid)   ,ala
Beta-Alanine   ,beta-alanine
L-Tyrosine   ,l-tyrosine
Taurine   ,taurine
L-Arginine HCl   ,l-arginine hcl
L-Arginine   ,l-arginine
Acetyl L-Carnitine   ,acetyl l-carnitine
L-Tyrosine   ,l-tyrosine
L-Tyrosine   ,l-tyrosine
L-Tyrosine   ,l-tyrosine
L-Carnitine Tartrate  (Patented)  ,l-carnitine tartrate
N-AcetylCysteine   ,n-acetylcysteine
Selenium   (Selenium Amino Acid Chelate)  ,selenium
Boron   (Boron Amino Acid Complex)  ,boron
Selenium   (Selenium Amino Acid Chelate)  ,selenium
Boron   (Boron Amino Acid Complex)  ,boron
L-Lysine   (as L-Lysine hydrochloride)  ,l-lysine
L-Glutamine   ,l-glutamine
L-Glutamine   ,l-glutamine
L-Glutamine   ,l-glutamine
D-Aspartic Acid   ,d-aspartic acid
micronized L-Glutamine   ,micronized l-glutamine
micronized L-Leucine   ,micronized l-leucine
micronized L-Isoleucine   ,micronized l-isoleucine
micronized L-Valine   ,micronized l-valine
micronized L-Glutamine   ,micronized l-glutamine
micronized L-Leucine   ,micronized l-leucine
micronized L-Isoleucine   ,micronized l-isoleucine
micronized L-Valine   ,micronized l-valine
micronized L-Glutamine   ,micronized l-glutamine
micronized L-Leucine   ,micronized l-leucine
micronized L-Isoleucine   ,micronized l-isoleucine
micronized L-Valine   ,micronized l-valine
Arginine AKG   ,arginine akg
CarnoSyn(R) Beta Alanine   ,carnosyn beta alanine
DiArginine Malate   ,diarginine malate
L-Norvaline   ,l-norvaline
Taurine   ,taurine
N-Acetyl-L-Tyrosine   ,n-acetyl-l-tyrosine
L-Glutamine   ,l-glutamine
L-Leucine   ,l-leucine
L-Histidine   ,l-histidine
Ornithine AKG   ,ornithine akg
L-Isoleucine   ,l-isoleucine
L-Valine   ,l-valine
Arginine AKG   ,arginine akg
CarnoSyn(R) Beta Alanine   ,carnosyn beta alanine
DiArginine Malate   ,diarginine malate
L-Norvaline   ,l-norvaline
Taurine   ,taurine
N-Acetyl-L-Tyrosine   ,n-acetyl-l-tyrosine
L-Glutamine   ,l-glutamine
L-Leucine   ,l-leucine
L-Histidine   ,l-histidine
Ornithine AKG   ,ornithine akg
L-Isoleucine   ,l-isoleucine
L-Valine   ,l-valine
Glycine   ,glycine
Glycine   ,glycine
D-Aspartic Acid   ,d-aspartic acid
D-Aspartic Acid   ,d-aspartic acid
L-Tyrosine   ,l-tyrosine
L-Arginine HCl   ,l-arginine hcl
L-Tyrosine   ,l-tyrosine
Taurine   ,taurine
Glycine   ,glycine
L-Carnitine   (as {L-Carnitine} Tartrate)  ,l-carnitine
L-Tyrosine   ,l-tyrosine
Taurine   ,taurine
Glycine   ,glycine
L-Carnitine   (as {L-Carnitine} Tartrate)  ,l-carnitine
L-Tyrosine   ,l-tyrosine
Taurine   ,taurine
Glycine   ,glycine
L-Carnitine   (as {L-Carnitine} Tartrate)  ,l-carnitine
Taurine   ,taurine
Boron   (as {Boron} Amino Acid Chelate)  ,boron
Selenium   (as Selenium Amino Acid Chelate)  ,selenium
|Zinc   (as Zinc (Amino Acid Chelate), as zinc amino acid chelate (U.S. Patent Number 4,599,152 Albion Laboratories))  |,zinc
N-AcetylCysteine   ,n-acetylcysteine
L-Theanine   ,l-theanine
Glutamine   (as L-Glutamine)  ,glutamine
Lysine   (as L-Lysine HCl)  ,lysine
Proprietary Amino Acid Blend   ,proprietary amino acid
L-Glutamine   ,l-glutamine
Proprietary Amino Acid Blend   ,proprietary amino acid
L-Glutamine   ,l-glutamine
Copper   (as copper amino acid chelate)  ,copper
Copper   (as copper amino acid chelate)  ,copper
Typical Amino Acid Profile Per Serving  (Mg/6g Protein)  ,typical amino acid profile per serving
