Original Name,Processed Name
linoleic acid  (LA)   ,linoleic acid
gamma linolenic acid  (GLA)   ,gamma linolenic acid
MCT Oil   ,mct oil
|Fish Oil   (contains eicosapentaenoic acid (EPA) , Docosahexaenoic Acid (DHA) )  |,fish oil
MCT Oil   ,mct oil
Essential Fatty Acids   ,essential fatty acids
Omega-3   (Alpha-Linolenic Acid)  ,omega-3
Omega-6   (Linoleic Acid)  ,omega-6
Omega-9 Fatty Acid   ,omega-9 fatty acid
Oleic Acid   ,oleic acid
Essential Fatty Acids   ,essential fatty acids
Omega-3   (Alpha-Linolenic Acid)  ,omega-3
Omega-6   (Linoleic Acid)  ,omega-6
Omega-9 Fatty Acid   ,omega-9 fatty acid
Oleic Acid   ,oleic acid
Essential Fatty Acids   ,essential fatty acids
Omega-3   (Alpha-Linolenic Acid)  ,omega-3
Omega-6   (Linoleic Acid)  ,omega-6
Omega-9 Fatty Acid   ,omega-9 fatty acid
Oleic Acid   ,oleic acid
total Omega-3 Fatty Acids   ,total omega-3 fatty acids
EPA  (eicosapentaenoic acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
total Omega-3 Fatty Acids   ,total omega-3 fatty acids
EPA  (eicosapentaenoic acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
DHA  (Docosahexaenoic Acid)   ,dha
Omega-3 Fatty Acid   (ALA)  ,omega-3 fatty acid
Omega-6 Fatty Acid   (GLA)  ,omega-6 fatty acid
Omega-9 Fatty Acid   ,omega-9 fatty acid
Total Saturated Fatty Acid   ,total saturated fatty acid
Total Unsaturated Fatty Acid   ,total unsaturated fatty acid
Palmetoleic Acid  (Omega 7)   ,palmetoleic acid
Linolenic Acid  (Omega 6)  ,linolenic acid
Linolenic Acid  (Omega 3)  ,linolenic acid
Omega-3's   ,omega-3's
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Omega-3's   ,omega-3's
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Fish Oil Concentrate   ,fish oil
Total Omega-3 Fatty Acids   ,total omega-3 fatty acids
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,dha
Total Omega-3 Fatty Acids  (guaranteed analysis EPA+DHA-1250 mg)  ,total omega-3 fatty acids
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,dha
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,dha
Total EPA + DHA  (guaranteed analysis)  ,total epa + dha
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA - 1500 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA - 1500 mg)  ,dha
EPA  (guaranteed analysis EPA+DHA-2000 mg)  ,epa
DHA  (guaranteed analysis EPA+DHA-2000 mg)  ,dha
EPA  (guaranteed analysis EPA+DHA-2000 mg)  ,epa
DHA  (guaranteed analysis EPA+DHA-2000 mg)  ,dha
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
GLA  (Gamma-Linolenic Acid)   ,gla
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,dha
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,dha
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,dha
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,dha
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,dha
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,dha
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,dha
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,dha
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA+DHA-1250 mg)  ,dha
EPA  (Eicosapentaenoic Acid)  (guaranteed analysis EPA=DHA-1200 mg)  ,epa
DHA  (Docosahexaenoic Acid)  (guaranteed analysis EPA=DHA-1200 mg)  ,dha
DHA  (Docosahexaenoic Acid)   ,dha
DHA  (Docosahexaenoic Acid)   ,dha
Min 75% Conjugated Linoleic Acid   ,min conjugated linoleic acid
Min 75% Conjugated Linoleic Acid   ,min conjugated linoleic acid
Fish Oil Concentrate   ,fish oil
Omega-3 fatty acid   ,omega-3 fatty acid
Eicosapentaenoic Acid   ,eicosapentaenoic acid
Docosahexaenoic Acid   ,docosahexaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Docosahexaenoic Acid  (DHA)   (from omega-3 fatty acids)  ,docosahexaenoic acid
Docosahexaenoic Acid  (DHA)   (from omega-3 fatty acids)  ,docosahexaenoic acid
Eicosapentaenoic Acid   (from marine lipids)  ,eicosapentaenoic acid
Docosahexaenoic Acid   (from marine lipids)  ,docosahexaenoic acid
Omega 3 Fatty Acids   ,omega fatty acids
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Omega-3 Polyunsaturated Fat   ,omega-3 polyunsaturated fat
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Omega-3 Fatty Acid   ,omega-3 fatty acid
Linoleic Acid   ,linoleic acid
Gamma Linolenic Acid   ,gamma linolenic acid
Oleic Acid   ,oleic acid
Linoleic Acid   ,linoleic acid
Gamma Linolenic Acid   ,gamma linolenic acid
Oleic Acid   ,oleic acid
Essential Fatty Acids   ,essential fatty acids
Omega-3   (Alpha-Linolenic Acid)  ,omega-3
Omega-6   (Linolenic Acid)  ,omega-6
Monounsaturated Fatty Acids   ,monounsaturated fatty acids
Omega-9   ,omega-9
Essential Fatty Acids   ,essential fatty acids
Omega-3   (Alpha-Linolenic Acid)  ,omega-3
Omega-6   (Linolenic Acid)  ,omega-6
Monounsaturated Fatty Acids   ,monounsaturated fatty acids
Omega-9   ,omega-9
Essential Fatty Acids   ,essential fatty acids
Omega-3   (Alpha-Linolenic Acid)  ,omega-3
Omega-6   (Linolenic Acid)  ,omega-6
Monounsaturated Fatty Acids   ,monounsaturated fatty acids
Omega-9   ,omega-9
Omega-3 Polyunsaturated Fat   ,omega-3 polyunsaturated fat
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
other Omega-3 Fatty Acids   ,other omega-3 fatty acids
Omega-3 Polyunsaturated Fat   ,omega-3 polyunsaturated fat
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
other Omega-3 Fatty Acids   ,other omega-3 fatty acids
Omega-6 Polyunsaturated Fat   ,omega-6 polyunsaturated fat
Linoleic Acid  (LA)   ,linoleic acid
other Omega-6 Fatty Acids   ,other omega-6 fatty acids
Omega-9 Monounsaturated Fat   ,omega-9 monounsaturated fat
Oleic Acid   ,oleic acid
other Omega-9 Fatty Acids   ,other omega-9 fatty acids
Omega-3 Polyunsaturated Fat   ,omega-3 polyunsaturated fat
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
other Omega-3 Fatty Acids   ,other omega-3 fatty acids
Omega-3 Polyunsaturated Fat   ,omega-3 polyunsaturated fat
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
other Omega-3 Fatty Acids   ,other omega-3 fatty acids
